idx,b_mm,theta_lo_deg,theta_hi_deg,theta_a0_deg,midpoint_deg,swing_deg,monotonic
255,0.06312625250501,77.2688526420879,-40.4519190786114,13.6430851442081,18.4084667817383,117.720771720699,1
256,0.0771543086172345,77.3744483560165,-40.5558791114098,13.6208750582051,18.4092846223034,117.930327467426,1
257,0.0911823647294589,77.4803547430429,-40.6601126380885,13.5985400372371,18.4101210524772,118.140467381131,1
258,0.105210420841683,77.5865726470412,-40.7646204225655,13.576079028182,18.4109761122379,118.351193069607,1
259,0.119238476953908,77.6931029102871,-40.869403230105,13.5534909660938,18.4118498400911,118.562506140392,1
260,0.133266533066132,77.7999463733853,-40.9744618273179,13.530774774037,18.4127422730337,118.774408200703,1
261,0.147294589178357,77.9071038751947,-41.0797969821623,13.5079293629181,18.4136534465162,118.986900857357,1
262,0.161322645290581,78.0145762527549,-41.1854094639436,13.4849536313142,18.4145833944057,119.199985716699,1
263,0.175350701402806,78.1223643412091,-41.2913000433158,13.4618464652985,18.4155321489467,119.413664384525,1
264,0.18937875751503,78.2304689737276,-41.3974694922821,13.4386067382635,18.4164997407228,119.62793846601,1
265,0.203406813627255,78.33889098143,-41.5039185841967,13.4152333107402,18.4174861986167,119.842809565627,1
266,0.217434869739479,78.4476311933056,-41.6106480937659,13.3917250302155,18.4184915497699,120.058279287071,1
267,0.231462925851703,78.5566904361338,-41.7176587970504,13.3680807309452,18.4195158195417,120.274349233184,1
268,0.245490981963928,78.6660695344028,-41.8249514714672,13.3442992337646,18.4205590314678,120.49102100587,1
269,0.259519038076152,78.7757693102272,-41.9325268957924,13.3203793458955,18.4216212072174,120.70829620602,1
270,0.273547094188377,78.8857905832647,-42.0403858501635,13.2963198607503,18.4227023665506,120.926176433428,1
271,0.287575150300601,78.9961341706317,-42.1485291160831,13.272119557732,18.4238025272743,121.144663286715,1
272,0.301603206412826,79.1068008868179,-42.256957476422,13.2477772020314,18.4249217051979,121.36375836324,1
273,0.31563126252505,79.2177915435996,-42.3656717154232,13.2232915444205,18.4260599140882,121.583463259023,1
274,0.329659318637275,79.3291069499518,-42.4746726187061,13.1986613210422,18.4272171656228,121.803779568658,1
